Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Abies,Pinaceae,Pinophyta,-0.160755198,0.041666667,1,1,0.004761905,0.0975,1,1,0,0.695652174,0.8674,1.7322331621830875,-1.076183349
Abronia,Nyctaginaceae,Caryophyllales,0.081685298,0.3125,0.6875,0,0.005063291,0.111237374,0.956459115,0.7712029985649999,0.824636364,2.522055855,0.4142791668199994,-0.20811559,1.1541624861614022
Abutilon,Malvaceae,Malvales,-0.18384477,0,0.763157895,0.394736842,0.006153846,0,1,1,1,3.5,0.057,-0.418329493,-1.590640909
Acacia,Fabaceae,Fabales,-0.17057748,0.136363636,1,1,0.096494845,0,0.999125874,0.5701559065899999,1,1.5,0.807875,-0.426222519,0.20883245961356753
Acaena,Rosaceae,Rosales,0.3826193747055725,0.4,1,0,0.001060071,0.228822358,0.992916667,0.5,0.8758546157500002,2.5506004600100005,0.4966398215249995,-0.541409669,0.2510074046525489
Acalypha,Euphorbiaceae,Malpighiales,-0.18384477,0,0,0,0.01239531,0.2,0.985,0.979,0,2.772727273,0.5546469015800003,-0.226880512,0.18969200067545575
Acamptopappus,Asteraceae,Asterales,-0.18384477,0,1,1,0.00210989,0,1,0.7791726190500001,1,2.494815165875003,0.92838875,-0.412717521,-0.259386277
Acanthomintha,Lamiaceae,Lamiales,-0.18384477,0,0,0,0.004320557,0.5381994950050002,1,0.9975,1,3.943825758,0.1402231547699997,-0.341470283,-0.80072319
Acanthopanax,Araliaceae,Apiales,-0.18384477,0,1,1,0,0,1,0.5,1,1.9852941180000083,0.9670000000000036,-0.36845952,0.6176545817132467
Acanthospermum,Asteraceae,Asterales,-0.18384477,0,0,0,0.00210989,0,0.9925,0.9995,1,1.999771374,0.6946749166850015,-0.402071892,0.8678231122982476
Acanthus,Acanthaceae,Lamiales,-0.18384477,0,1,0,0.000857143,1,1,0.7445937499999998,1,1.933263403,0.6323980833350006,-0.110538776,0.25773939991801853
Acer,Sapindaceae,Sapindales,-0.17205435,0.042553191,1,1,0.001265823,0.005,1,0.916666667,0.833333333,2.166666667,0.945,-0.463636205,-0.093834894
Achillea,Asteraceae,Asterales,-0.133439062,0.233333333,1,0,0.00210989,0,1,0.5,1,3.086840077,0.8444462500000006,-0.029222303,1.3056304826404233
Achlys,Berberidaceae,Ranunculales,-0.18384477,0,1,0,0,0,0,0.5,1,0.8665000000000014,0.0814,0.38270050557036356,-0.242827853
Achnatherum,Poaceae,Poales,-0.001767009,0.2,1,0,0.074314214,0.245333333,0.988125,0.496748188,0.00625,2.1086791978899995,0.840058167,0.2331567649190209,0.10147780961017557
Achyranthes,Amaranthaceae,Caryophyllales,-0.18384477,0,0.916666667,0.5,0.041463415,0,0.9750163703799996,0.719820088,0.644098007,3.25,0.5969456547550005,0.20877891312483624,1.172529512034256
Acianthus,Orchidaceae,Asparagales,-0.18384477,0,1,0,0,0,0,0.5,1,0.8665000000000014,0.0814,0.38270050557036356,-0.242827853
Acinos,Lamiaceae,Lamiales,3.6397882038928264,1.2,0.8,0,0.004320557,0.136666667,1,1,1,2.7246229707750005,0.3201750001999991,-0.166893899,-0.262523412
Aciphylla,Apiaceae,Apiales,-0.18384477,0,1,0,0.003968254,0.7852831196800001,1,0.6261130952449999,1,1.908856061,0.5829839166700002,-0.109887934,-0.358759984
Aconitum,Ranunculaceae,Ranunculales,-0.142192994,0.055555556,1,0,0,0.06,1,0.958333333,1,2.815952597,0.884,0.14595612306827502,0.4400726158359601
Acorus,Acoraceae,Acorales,-0.18384477,0,1,0,0,0.942580128,1,0,1,2.6113636634449997,0.3944250348150002,-0.515179468,0.31594221233022285
Acrotriche,Ericaceae,Ericales,-0.18384477,0,1,1,0,0,1,0.5,1,1.9852941180000083,0.9670000000000036,-0.36845952,0.6176545817132467
Actaea,Ranunculaceae,Ranunculales,0.8782755010926624,0.25,1,0,0,0.7343589743850001,1,0.5,1,2.332924672555001,0.5393533333450009,2.247436881857335,-0.701777993
Actinotus,Apiaceae,Apiales,-0.18384477,0,0.5,0,0.003968254,0.5051161616700002,1,0.99375,1,4,0.2126040833600003,0.052376949,-1.379842247
Adenocarpus,Fabaceae,Fabales,-0.18384477,0,1,1,0.096494845,1,1,0.9975,1,1.5675372022200016,0.6804543333349987,-0.468099619,-1.361850934
Adenophora,Campanulaceae,Asterales,-0.18384477,0,1,0,0,0,1,1,1,2.9176510744450006,0.9442698333299993,0.049106148408331024,0.41625760376334403
Adenophorus,Polypodiaceae,Monilophyta,0.2410033386678065,0.3,1,0,0,0.876826923,0.999791667,0.5374945054799999,0.974444444,2.93429046,0.5747254853649998,2.8448243033934784,0.3873480484811584
Adenophyllum,Asteraceae,Asterales,-0.18384477,0,1,1,0.00210989,0,1,0.7791726190500001,1,2.494815165875003,0.92838875,-0.412717521,-0.259386277
Adenostoma,Rosaceae,Rosales,-0.18384477,0,1,1,0.001060071,0,1,0.519926302,0.996586022,2.020593619600004,0.9570162500000032,-0.358343444,0.5654142844952098
Adenostyles,Asteraceae,Asterales,1.9403957710572715,0.333333333,1,0,0.00210989,0.188098291,1,0.5,1,2.558688816485001,0.4654150001099989,-0.155686546,-0.53504991
Adiantum,Pteridaceae,Monilophyta,-0.150304129,0.05,1,0,0,0.8082532052050001,0.998536585,0.5459974119599998,1,3.666666667,0.5088617307899999,0.10425682842302132,1.5462407872983719
Adonis,Ranunculaceae,Ranunculales,-0.042228733,0.1,0.6,0,0,0.5989743590100001,1,0.875,1,2.5542751010900004,0.474489548,1.4991654912336023,-0.893200503
Adriana,Euphorbiaceae,Malpighiales,-0.18384477,0,1,1,0.01239531,0,0.998557692,0.662405112,0.758953446,1.8022929723750003,0.8815447797499999,-0.157618513,0.1513167761521461
Aegilops,Poaceae,Poales,-0.123152183,0.066666667,0,0,0.074314214,0.8403191489400001,1,0.980714286,0,1.0339281247699994,0.040335,0.6125329454881937,0.7468496771196488
Aeluropus,Poaceae,Poales,-0.18384477,0,1,0,0.074314214,0.7215836557049999,0.8808333333600001,0.4777815579799997,0.01875,0.8280833333349998,0.1098876666600001,0.54411713,1.868351328592045
Aeonium,Crassulaceae,Saxifragales,-0.18384477,0,1,1,0,0.005,0.998251748,0.7497346342400006,0.9144135305199996,2.024905052965001,0.8883596130949989,-0.459714922,4.486165483248006
Aesculus,Sapindaceae,Sapindales,-0.18384477,0,1,1,0.001265823,0.035,1,1,1,2,0.8400150000000005,-0.536701684,-1.590640909
Aethionema,Brassicaceae,Brassicales,-0.18384477,0,0.9,0,0.00485306,0.4789583333800001,1,1,1,4,0.3182584881650006,-0.490294405,-1.590640909
Agalinis,Orobanchaceae,Lamiales,-0.18384477,0,0,0,0,0.836330128,0.99375,0.98125,0.95,1.6751228354849996,0.469,-0.288741659,0.038474712145860686
Agalinus,Orobanchaceae,Lamiales,-0.18384477,0,0,0,0,0,0.98875,0.996166667,1,1.906504913199999,0.6995553333350021,-0.397644213,0.891297665
Agastache,Lamiaceae,Lamiales,-0.18384477,0,1,0,0.004320557,0.913135684,1,0.588825893,1,1.6814912482749995,0.5638417829750005,-0.268688961,0.29103051119803647
Agave,Asparagaceae,Asparagales,-0.18384477,0,1,0,0,0,1,0.5186433290700001,1,3.306012907465001,0.9360049999999996,0.2845975252163111,0.3478962665780271
Ageratina,Asteraceae,Asterales,-0.18384477,0,1,0.5,0.00210989,0.6122858701650001,0.999545455,0.7927582784449999,0.9763571428099996,0.9,0.542385945,-0.2954457,1.0814001945131495
Ageratum,Asteraceae,Asterales,-0.18384477,0,0.5,0,0.00210989,0,1,0.8505831460249996,1,2,0.7577480833299997,-0.376324683,0.17009673071029283
Agoseris,Asteraceae,Asterales,0.009268007,0.166666667,0.833333333,0,0.00210989,0.146217949,0.996590909,0.7231147283350003,0.882011905,2.414419402,0.57073625,-0.254558876,0.9130889654786282
